date,rate,daily_factor,accumulated
2021-05-04,2.65,1.000103794900115,1.0071559110289443
2021-05-05,2.65,1.000103794900115,1.0072604486761298
2021-05-06,3.4,1.000132686484955,1.0073940985244987
2021-05-07,3.4,1.000132686484955,1.0075277661063962
2021-05-10,3.4,1.000132686484955,1.0076614514241753
2021-05-11,3.4,1.000132686484955,1.0077951544801893
2021-05-12,3.4,1.000132686484955,1.0079288752767919
2021-05-13,3.4,1.000132686484955,1.0080626138163369
2021-05-14,3.4,1.000132686484955,1.0081963701011787
2021-05-17,3.4,1.000132686484955,1.0083301441336716
2021-05-18,3.4,1.000132686484955,1.0084639359161707
2021-05-19,3.4,1.000132686484955,1.008597745451031
2021-05-20,3.4,1.000132686484955,1.0087315727406083
2021-05-21,3.4,1.000132686484955,1.0088654177872582
2021-05-24,3.4,1.000132686484955,1.008999280593337
2021-05-25,3.4,1.000132686484955,1.0091331611612009
2021-05-26,3.4,1.000132686484955,1.0092670594932067
2021-05-27,3.4,1.000132686484955,1.0094009755917117
2021-05-28,3.4,1.000132686484955,1.009534909459073
2021-05-31,3.4,1.000132686484955,1.0096688610976485
2021-06-01,3.4,1.000132686484955,1.009802830509796
2021-06-02,3.4,1.000132686484955,1.0099368176978738
2021-06-04,3.4,1.000132686484955,1.0100708226642408
2021-06-07,3.4,1.000132686484955,1.0102048454112555
2021-06-08,3.4,1.000132686484955,1.0103388859412776
2021-06-09,3.4,1.000132686484955,1.0104729442566664
2021-06-10,3.4,1.000132686484955,1.010607020359782
2021-06-11,3.4,1.000132686484955,1.010741114252984
2021-06-14,3.4,1.000132686484955,1.0108752259386338
2021-06-15,3.4,1.000132686484955,1.0110093554190915
2021-06-16,3.4,1.000132686484955,1.0111435026967186
2021-06-17,4.15,1.0001613700890652,1.0113066710138066
2021-06-18,4.15,1.0001613700890652,1.0114698656613803
2021-06-21,4.15,1.0001613700890652,1.011633086643689
2021-06-22,4.15,1.0001613700890652,1.011796333964982
2021-06-23,4.15,1.0001613700890652,1.0119596076295099
2021-06-24,4.15,1.0001613700890652,1.0121229076415235
2021-06-25,4.15,1.0001613700890652,1.0122862340052745
2021-06-28,4.15,1.0001613700890652,1.0124495867250154
2021-06-29,4.15,1.0001613700890652,1.0126129658049994
2021-06-30,4.15,1.0001613700890652,1.01277637124948
2021-07-01,4.15,1.0001613700890652,1.0129398030627117
2021-07-02,4.15,1.0001613700890652,1.0131032612489497
2021-07-05,4.15,1.0001613700890652,1.0132667458124498
2021-07-06,4.15,1.0001613700890652,1.0134302567574685
2021-07-07,4.15,1.0001613700890652,1.013593794088263
2021-07-08,4.15,1.0001613700890652,1.0137573578090908
2021-07-09,4.15,1.0001613700890652,1.013920947924211
2021-07-12,4.15,1.0001613700890652,1.0140845644378826
2021-07-13,4.15,1.0001613700890652,1.0142482073543657
2021-07-14,4.15,1.0001613700890652,1.0144118766779207
2021-07-15,4.15,1.0001613700890652,1.014575572412809
2021-07-16,4.15,1.0001613700890652,1.0147392945632927
2021-07-19,4.15,1.0001613700890652,1.0149030431336343
2021-07-20,4.15,1.0001613700890652,1.0150668181280973
2021-07-21,4.15,1.0001613700890652,1.0152306195509457
2021-07-22,4.15,1.0001613700890652,1.0153944474064445
2021-07-23,4.15,1.0001613700890652,1.0155583016988587
2021-07-26,4.15,1.0001613700890652,1.015722182432455
2021-07-27,4.15,1.0001613700890652,1.0158860896114996
2021-07-28,4.15,1.0001613700890652,1.0160500232402603
2021-07-29,4.15,1.0001613700890652,1.0162139833230053
2021-07-30,4.15,1.0001613700890652,1.0163779698640034
2021-08-02,4.15,1.0001613700890652,1.0165419828675244
2021-08-03,4.15,1.0001613700890652,1.0167060223378384
2021-08-04,4.15,1.0001613700890652,1.016870088279216
2021-08-05,5.15,1.000199296508342,1.0170727469372476
2021-08-06,5.15,1.000199296508342,1.017275445984442
2021-08-09,5.15,1.000199296508342,1.0174781854288486
2021-08-10,5.15,1.000199296508342,1.0176809652785186
2021-08-11,5.15,1.000199296508342,1.0178837855415046
2021-08-12,5.15,1.000199296508342,1.0180866462258609
2021-08-13,5.15,1.000199296508342,1.0182895473396432
2021-08-16,5.15,1.000199296508342,1.018492488890909
2021-08-17,5.15,1.000199296508342,1.0186954708877174
2021-08-18,5.15,1.000199296508342,1.018898493338129
2021-08-19,5.15,1.000199296508342,1.0191015562502062
2021-08-20,5.15,1.000199296508342,1.0193046596320126
2021-08-23,5.15,1.000199296508342,1.0195078034916139
2021-08-24,5.15,1.000199296508342,1.0197109878370771
2021-08-25,5.15,1.000199296508342,1.019914212676471
2021-08-26,5.15,1.000199296508342,1.020117478017866
2021-08-27,5.15,1.000199296508342,1.0203207838693333
2021-08-30,5.15,1.000199296508342,1.0205241302389472
2021-08-31,5.15,1.000199296508342,1.0207275171347825
2021-09-01,5.15,1.000199296508342,1.020930944564916
2021-09-02,5.15,1.000199296508342,1.021134412537426
2021-09-03,5.15,1.000199296508342,1.0213379210603926
2021-09-06,5.15,1.000199296508342,1.0215414701418972
2021-09-08,5.15,1.000199296508342,1.021745059790023
2021-09-09,5.15,1.000199296508342,1.021948690012855
2021-09-10,5.15,1.000199296508342,1.022152360818479
2021-09-13,5.15,1.000199296508342,1.0223560722149836
2021-09-14,5.15,1.000199296508342,1.0225598242104583
2021-09-15,5.15,1.000199296508342,1.0227636168129943
2021-09-16,5.15,1.000199296508342,1.0229674500306842
