fund,date,proxy_return
Brave I FIC FIM CP,2021-09-13,-0.013385195316930942
Brave I FIC FIM CP,2021-09-14,-0.015547372112297382
Brave I FIC FIM CP,2021-09-15,-0.01757771576871223
Brave I FIC FIM CP,2021-09-16,-0.02119927045579834
Brave I FIC FIM CP,2021-09-17,-0.021205448596054333
Brave I FIC FIM CP,2021-09-20,-0.021193626213102584
Brave I FIC FIM CP,2021-09-21,-0.01592506490122088
Brave I FIC FIM CP,2021-09-22,-0.016790484716583245
Brave I FIC FIM CP,2021-09-23,-0.018395674747801963
Brave I FIC FIM CP,2021-09-24,-0.023311650529913724
Brave I FIC FIM CP,2021-09-27,-0.018787157080060006
Brave I FIC FIM CP,2021-09-28,-0.019064789628677272
Brave I FIC FIM CP,2021-09-29,-0.019285888950851676
Brave I FIC FIM CP,2021-09-30,-0.020031191504093587
Brave I FIC FIM CP,2021-10-01,-0.023009309103486465
Brave I FIC FIM CP,2021-10-04,-0.021429581365920245
Brave I FIC FIM CP,2021-10-05,-0.022508469027661644
Brave I FIC FIM CP,2021-10-06,-0.023663876925948825
Brave I FIC FIM CP,2021-10-07,-0.025702851551720526
Brave I FIC FIM CP,2021-10-08,-0.02531771433115489
Brave I FIC FIM CP,2021-10-11,-0.02136682579112684
Brave I FIC FIM CP,2021-10-13,-0.02065670892820317
Brave I FIC FIM CP,2021-10-14,-0.017497806505267246
Brave I FIC FIM CP,2021-10-15,-0.014873935681042035
Brave I FIC FIM CP,2021-10-18,-0.01615589008862141
Brave I FIC FIM CP,2021-10-19,-0.01243314707283069
Brave I FIC FIM CP,2021-10-20,-0.011699840909719162
Brave I FIC FIM CP,2021-10-21,-0.00841918557743208
Brave I FIC FIM CP,2021-10-22,-0.010308928755746329
Brave I FIC FIM CP,2021-10-25,-0.01230444852403428
Brave I FIC FIM CP,2021-10-26,-0.019283252378237616
Brave I FIC FIM CP,2021-10-27,-0.01670575860365659
Brave I FIC FIM CP,2021-10-28,-0.018064626152975227
Brave I FIC FIM CP,2021-10-29,-0.01826303695032142
Brave I FIC FIM CP,2021-11-01,-0.019491858702527384
Brave I FIC FIM CP,2021-11-03,-0.020155962965354438
Brave I FIC FIM CP,2021-11-04,-0.022996680481996226
Brave I FIC FIM CP,2021-11-05,-0.02228368766036996
Brave I FIC FIM CP,2021-11-08,-0.019775711255685575
Brave I FIC FIM CP,2021-11-09,-0.01679191390506249
Brave I FIC FIM CP,2021-11-10,-0.01657336204747712
Brave I FIC FIM CP,2021-11-11,-0.017465671759533886
Brave I FIC FIM CP,2021-11-12,-0.014524866517106362
Brave I FIC FIM CP,2021-11-16,-0.017163560290163492
Brave I FIC FIM CP,2021-11-17,-0.016539429950056604
Brave I FIC FIM CP,2021-11-18,-0.01985332637719096
Brave I FIC FIM CP,2021-11-19,-0.013069326722890245
Brave I FIC FIM CP,2021-11-22,-0.015687008686968512
Brave I FIC FIM CP,2021-11-23,-0.010345794509445578
Brave I FIC FIM CP,2021-11-24,-0.006820757565458411
Brave I FIC FIM CP,2021-11-25,-0.012605867075265348
Brave I FIC FIM CP,2021-11-26,-0.014808857516894805
Brave I FIC FIM CP,2021-11-29,-0.018067596137574495
Brave I FIC FIM CP,2021-11-30,-0.020690815702585436
Brave I FIC FIM CP,2021-12-01,-0.023952628881991636
Brave I FIC FIM CP,2021-12-02,-0.021306095909050048
Brave I FIC FIM CP,2021-12-03,-0.024955666711152635
Brave I FIC FIM CP,2021-12-06,-0.022775114770311047
Brave I FIC FIM CP,2021-12-07,-0.020982725991018917
Brave I FIC FIM CP,2021-12-08,-0.0227849648461577
Brave I FIC FIM CP,2021-12-09,-0.02151715524413013
Brave I FIC FIM CP,2021-12-10,-0.019634124677079826
Brave I FIC FIM CP,2021-12-13,-0.01620640266498338
Brave I FIC FIM CP,2021-12-14,-0.01923883632719077
Brave I FIC FIM CP,2021-12-15,-0.019750251192019428
Brave I FIC FIM CP,2021-12-16,-0.020114850796541493
Brave I FIC FIM CP,2021-12-17,-0.019980892151479534
Brave I FIC FIM CP,2021-12-20,-0.021475031428982497
Brave I FIC FIM CP,2021-12-21,-0.021712419198240417
Brave I FIC FIM CP,2021-12-22,-0.02023016940971794
Brave I FIC FIM CP,2021-12-23,-0.022107146814203872
Brave I FIC FIM CP,2021-12-27,-0.026540920374188225
Brave I FIC FIM CP,2021-12-28,-0.02581335166723411
Brave I FIC FIM CP,2021-12-29,-0.024664680213821205
Brave I FIC FIM CP,2021-12-30,-0.018698016446071414
Brave I FIC FIM CP,2022-01-03,-0.018140713525507897
Brave I FIC FIM CP,2022-01-04,-0.01828928781347327
Brave I FIC FIM CP,2022-01-05,-0.016969120879840278
Brave I FIC FIM CP,2022-01-06,-0.019479285343824256
Brave I FIC FIM CP,2022-01-07,-0.023989066914733632
Brave I FIC FIM CP,2022-01-10,-0.022148029950331095
Brave I FIC FIM CP,2022-01-11,-0.024544450333597957
Brave I FIC FIM CP,2022-01-12,-0.0232755364772317
Brave I FIC FIM CP,2022-01-13,-0.02246743929708042
Brave I FIC FIM CP,2022-01-14,-0.025339445888437704
Brave I FIC FIM CP,2022-01-17,-0.02843332815336365
Brave I FIC FIM CP,2022-01-18,-0.026056407724538495
Brave I FIC FIM CP,2022-01-19,-0.025051280437495965
Brave I FIC FIM CP,2022-01-20,-0.02674260546168738
